id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes
4171|The Larcenous Lover||10|1||||1962-01-01|Adventure||
4172||Paul Clarke||||||||producer,writer,director|
4173|Vow of Silence||5|8||||2011-01-01|Comedy||30
4174||Nick Turner||||||||actor|
4175||Lemora Mattingly Weber||||||||writer|
4176||Paul Verhoeven|||1975-01-01|1901-01-01||||actor,director,writer|
4177||K?ji Ohkura||||1974-01-01||||actor|
4178|Act of Piracy||18|2||||1961-01-01|Adventure||60
4179||Don Medford|||2012-01-01|1917-01-01||||director,producer,writer|
4180||Vivi Janiss|||1988-01-01|1911-01-01||||actress|
4181||William Windom|||2012-01-01|1923-01-01||||actor|
4182||Erik van Zuylen||||1943-01-01||||director,writer,actor|
4183||Dominic Lewis||||||||composer,music_department,soundtrack|
4184|Episode #2.3||3|2||||1999-01-01|Drama||21
4185||Larry Williams|||1999-01-01|1950-01-01||||director,art_department|
4186|Thanks to You||24|5||||1958-01-01|Drama||30
4187||Heather Mitchell||||||||actress,miscellaneous|
4188||Lev Shabarin|||1997-01-01|1928-01-01||||actor|
4189||Mathieu Blanc||||||||editor,editorial_department,sound_department|
4190||Weaver Levy|||2018-01-01|1925-01-01||||actor|
4191||Jerry Gracio||||||||writer,miscellaneous,script_department|
4192||Georg Hartmann||||1926-01-01||||actor|
4193||Cl?udio Vidal||||||||actor,art_department|
4194||Marshall Thompson|||1992-01-01|1925-01-01||||actor,director,writer|
4195||Josip Somodi||||||||animation_department,actor,editor|
4196||Lee Roberts|||1989-01-01|1913-01-01||||actor|
4197||Sheldon Allman|||2002-01-01|1924-01-01||||actor,music_department,soundtrack|
4198||Thomas Schad||||||||visual_effects,art_department,editor|
4199||Phillip Pine|||2006-01-01|1920-01-01||||actor,writer,director|
4200||Bert Fortell|||1996-01-01|1924-01-01||||actor|
4201||Wolfgang Becker|||2005-01-01|1910-01-01||||director,editor,assistant_director|
4202|Trouble in Store||6|3||||1999-01-01|Animation,Comedy,Fantasy||21
4203||Almira Sessions|||1974-01-01|1888-01-01||||actress,soundtrack|
4204||B. Nagi Reddy|||2004-01-01|1912-01-01||||producer,miscellaneous,director|
4205||Ira Goldman||||||||actor,producer|
4206||Claire Trevor|||2000-01-01|1910-01-01||||actress,soundtrack|
4207||Elizabeth Flournoy|||1977-01-01|1886-01-01||||actress|
4208|The End||10|5||||2005-01-01|Comedy||43
4209||Harry Lubin|||1977-01-01|1906-01-01||||composer,music_department,soundtrack|
4210||Seeta Rama Anjaneyulu Chilakalapudi|||1963-01-01|1907-01-01||||actor,music_department|
4211||Jay Tobias||||||||assistant_director,director,producer|
4212|Operation Snowball||13|6||||1958-01-01|Drama||30
4213||Rafael ?lvarez||||||||writer,producer,camera_department|
4214||Mark Erickson||||||||producer,actor,writer|
4215||Satyajit Ray|||1992-01-01|1921-01-01||||writer,composer,director|
4216||Dub Taylor|||1994-01-01|1907-01-01||||actor,soundtrack,director|
4217||Larry Gates|||1996-01-01|1915-01-01||||actor|
4218||Richard Chevolleau||||1966-01-01||||actor,director,editor|
4219||Dabbs Greer|||2007-01-01|1917-01-01||||actor,soundtrack|
4220||Eddie Hamilton||||||||editor,editorial_department,sound_department|
4221||Luke Dunkley||||||||editor,editorial_department|
4222|The City That Bleeds||12|3||||1995-01-01|Crime,Drama,Mystery||
4223||Lou Holtz|||1980-01-01|1893-01-01||||actor,writer|
4224||Betsy Hale||||1952-01-01||||actress|
4225||Susan Gilmore||||1954-01-01||||actress|
4226||Joe Maross|||2009-01-01|1923-01-01||||actor|
4227||Judy Morris||||||||actress|
4228||Jean-Luc Ayach||||||||director,writer,art_department|
4229||Adam Cruise|||||||||
4230||Heinrich B?ll|||1985-01-01|1917-01-01||||writer,actor,producer|
4231||Ricky Gervais||||1961-01-01||||writer,producer,actor|
4232||Anders Jansson||||1967-01-01||||actor,writer,director|
4233|Switchblade||5|8||||1960-01-01|Drama||
4234||Elsa Lanchester|||1986-01-01|1902-01-01||||actress,soundtrack|
4235||Garet Scott||||||||actress|
4236||James Bell|||1973-01-01|1891-01-01||||actor|
4237||Lawrence Jackson III|||||||||
4238||Len Doncheff||||||||actor|
4239||Kim So-eun||||1989-01-01||||actress|
4240||Josip Ivancic||||||||cinematographer,camera_department,director|
4241||Sener Sen||||1941-01-01||||actor,writer,producer|
4242||Bertha Holt||||||||writer|
4243||Joseph Cotten|||1994-01-01|1905-01-01||||actor,soundtrack,writer|
4244||William Smith||||1933-01-01||||actor,stunts,miscellaneous|
4245||Daniel Buccos||||||||actor|
4246||Alan Napier|||1988-01-01|1903-01-01||||actor,soundtrack,miscellaneous|
4247||Inge Meysel|||2004-01-01|1910-01-01||||actress,soundtrack|
4248||Stuart Randall|||1988-01-01|1909-01-01||||actor|
4249||Chris Robinson||||1938-01-01||||actor,director,writer|
4250||Alec Berg||||||||producer,writer,miscellaneous|
4251||Anya Epstein||||1970-01-01||||producer,writer,miscellaneous|
4252||Randy Williams|||||||||
4253||David Klar||||||||actor|
4254|Fuel Tank Cleaner||15|2||||2006-01-01|Reality-TV||43
4255|The Car Pool Lane||6|4||||2004-01-01|Comedy||30
4256||Janet-Laine Green||||1951-01-01||||actress,producer|
4257||Bill Anderson||||||||director,writer|
4258||Miles Luna||||||||writer,actor,director|
4259|Now a Brief Word||6|4||||1956-01-01|Drama||30
4260||Trent Bateman|||||||||
4261||Lisa Bateman|||||||||
4262|Hexagon|||||||1994-01-01|Documentary||60
4263||Brick Sullivan|||1959-01-01|1899-01-01||||actor,miscellaneous|
4264||Michael Montgomery||||||||actor|
4265||Larry J. Blake|||1982-01-01|1914-01-01||||actor|
4266||Cressida Cowell||||||||writer|
4267||Nina Foch|||2008-01-01|1924-01-01||||actress,miscellaneous,soundtrack|
4268|Sludge Cleaner||6|1||||2005-01-01|Reality-TV||43
4269||Sandy Chanley||||||||producer,writer,actress|
4270||Mitchell Leisen|||1972-01-01|1898-01-01||||director,art_director,costume_designer|
4271|Indictment||20|1||||1974-01-01|Crime,Drama||60
4272||Shlomo Bar-Aba||||1950-01-01||||actor,writer|
4273|You're Driving Me Crazy||5|2||||1954-01-01|Drama||30
4274|Something Sacred: Part 2||13|6||||1998-01-01|Crime,Drama,Mystery||
4275||Florian Ferrier||||||||writer,art_department,animation_department|
4276|Club Soda and Salt||3|3||||2002-01-01|Comedy||30
4277||Seon-jin Lee||||||||actress|
4278||Harry Shannon|||1964-01-01|1890-01-01||||actor,soundtrack|
4279||Dellen Vanderpool|||||||||
4280||Dick Sargent|||1994-01-01|1930-01-01||||actor,soundtrack|
4281||David Benesty||||1940-01-01||||actor|
4282||Chris Openshaw||||||||cinematographer,camera_department,visual_effects|
4283||Robert Ellis|||1973-01-01|1933-01-01||||actor|
4284||Harold Thrasher||||||||production_designer,art_director,art_department|
4285||Sebastian Arcelus||||1976-01-01||||actor,producer|
4286||Shuntar? Yanagi||||1991-01-01||||actor|
4287||Will Kuluva|||1990-01-01|1917-01-01||||actor|
4288|Cheese Maker||9|1||||2005-01-01|Reality-TV||44
4289||Margaret O'Brien||||1937-01-01||||actress,soundtrack,writer|
4290||Tom Bull||||||||producer,camera_department,production_manager|
4291||Don Dubbins|||1991-01-01|1928-01-01||||actor,soundtrack|
4292||Peter Sauder||||||||miscellaneous,writer,producer|
4293||Jorja Curtright|||1985-01-01|1923-01-01||||actress|
4294||Bing Russell|||2003-01-01|1926-01-01||||actor,writer|
4295||Wolfgang Suschitzky|||2016-01-01|1912-01-01||||cinematographer,miscellaneous|
4296||Patrick Egerton||||||||producer,writer|
4297||Subbanna Deekshitulu||||||||writer|
4298||Tony Benn|||2014-01-01|1925-01-01||||writer,camera_department,editor|
4299||Herbert Prikopa|||2015-01-01|1935-01-01||||actor,writer|
4300|Sag' die Wahrheit|||||||1946-01-01|Comedy,Romance||96
4301||Betsy von Furstenberg|||2015-01-01|1931-01-01||||actress|
4302||Leon Klatzkin|||1992-01-01|1914-01-01||||music_department,composer,soundtrack|
4303||John Simm||||1970-01-01||||actor,music_department,soundtrack|
4304|Gesundheit||25|3||||1956-01-01|Drama||30
4305||Scott Marlowe|||2001-01-01|1932-01-01||||actor|
4306||El?in Afandiyev||||||||writer|
4307||Nisio Isin||||||||writer|
4308||Toni Gerry|||1991-01-01|1926-01-01||||actress|
4309||Andr? S. Labarthe|||2018-01-01|1931-01-01||||director,writer,producer|
4310||Margaret Hayes|||1977-01-01|1916-01-01||||actress,miscellaneous|
4311||Justus Addiss|||1979-01-01|1917-01-01||||director,miscellaneous|
4312|Ambush on 7th Avenue||2|1||||1973-01-01|Crime,Drama||60
4313||Robert J. Shaw|||1996-01-01|1917-01-01||||writer,miscellaneous|
4314||Lucy Prentis||||||||actress|
4315|Wedding Day||23|4||||1957-01-01|Drama||30
4316|Fallen Heroes: Part 2||23|6||||1998-01-01|Crime,Drama,Mystery||
4317||Harper Barnes||||||||actor,writer|
4318||Edward Gold||||||||miscellaneous,writer,producer|
4319|AAMCO||7|1||||2000-01-01|Comedy||27
4320||Patrick Stewart||||1940-01-01||||actor,producer,director|
4321||Blaga Dimitrova|||2003-01-01|1922-01-01||||writer|
4322||Nancy Evans|||1963-01-01|1910-01-01||||actress|
4323||Catherine McLeod|||1997-01-01|1921-01-01||||actress|
4324|The Anonymous Donor||2|6||||2007-01-01|Comedy||30
4325||Amanda Holden||||1971-01-01||||actress,soundtrack|
4326||Marc Donato||||1989-01-01||||actor,producer|
4327|Victor. Echo. November.||6|2||||2006-01-01|Action,Adventure,Animation||22
4328|High Spirits with Shirley Ghostman|||||||2005-01-01|Comedy||30
4329||Jean-Luc Godard||||1930-01-01||||director,writer,editor|
4330||Shauna MacDonald||||1970-01-01||||actress,producer,director|
4331||Maidie Norman|||1998-01-01|1912-01-01||||actress,miscellaneous|
4332||Rino Romano||||1969-01-01||||actor|
4333||William Link|||2020-01-01|1933-01-01||||writer,producer,miscellaneous|
4334||Julian Francis Adderley||||1975-01-01||||editor,actor,editorial_department|
4335||Fred Schiller|||2003-01-01|1904-01-01||||writer|
4336||Skip Homeier|||2017-01-01|1930-01-01||||actor,director|
4337||Marc Wootton||||1975-01-01||||actor,writer,producer|
4338|The Portrait||21|6||||1959-01-01|Drama||30
4339|A Case of Do or Die||14|7||||1999-01-01|Crime,Drama,Mystery||
4340|Image of Glory||18|1||||1963-01-01|Drama,Sport,Western||
4341||Douglas Evans|||1968-01-01|1904-01-01||||actor|
4342||Kathleen Widdoes||||1939-01-01||||actress|
4343||Pingali Nagendra Rao|||1971-01-01|1901-01-01||||writer,music_department|
4344|Feeling No Pain||33|2||||1955-01-01|Drama||30
4345||Terry Moore||||||||writer,art_department|
4346||Oreste Fiengo||||1960-01-01||||composer,music_department|
4347||Rosie O'Donnell||||1962-01-01||||actress,writer,producer|
4348||Everett Sloane|||1965-01-01|1909-01-01||||actor,director,soundtrack|
4349||Lawrence Tierney|||2002-01-01|1919-01-01||||actor,soundtrack|
4350||Philip Saltzman|||2009-01-01|1928-01-01||||producer,writer,miscellaneous|
4351||Bernard Ilsley|||||||||
4352||Bill Sheehy||||||||cinematographer,camera_department,location_management|
4353||Joseph Granby|||1965-01-01|1885-01-01||||actor|
4354||James McCallion|||1991-01-01|1918-01-01||||actor|
4355||David Ritchie|||2016-01-01|||||actor|
4356|The Trial of Adam Troy||11|3||||1961-01-01|Adventure||60
4357||Ted Gehring|||2000-01-01|1929-01-01||||actor|
4358||Claudia Katz||||||||producer,miscellaneous,visual_effects|
4359|Double Blind||18|5||||1997-01-01|Crime,Drama,Mystery||
4360||Hal Geer|||2017-01-01|1916-01-01||||editor,producer,camera_department|
4361||Scotty Morrow||||1946-01-01||||actor|
4362||Nicholas Gecks||||1952-01-01||||actor,writer|
4363||Rainer von Artenfels|||1991-01-01|1939-01-01||||actor|
4364||Susan Kessel||||||||set_decorator,production_designer,art_department|
4365||Stephen Ouimette||||||||actor,soundtrack|
4366|Anniversary||9|1||||1960-01-01|Adventure,Drama,Family||30
4367||Elizabeth S. Holding||||||||writer|
4368||Dominic Zamprogna||||1979-01-01||||actor,producer|
4369|Air Stewardess||22|5||||1958-01-01|Drama||30
4370||Parley Baer|||2002-01-01|1914-01-01||||actor,soundtrack|
4371|Purple Zappa||74|1||||2017-01-01|Animation,Comedy,Family||
4372||Wally Cassell|||2015-01-01|1912-01-01||||actor|
4373|The Venture Bros. and the Curse of the Haunted Problem||1|7||||2018-01-01|Action,Adventure,Animation||22
4374||Lev Kruglyy|||2010-01-01|1931-01-01||||actor|
4375||Joseph Cuby||||1944-01-01||||actor|
4376||Carroll McComas|||1962-01-01|1886-01-01||||actress|
4377||Alan Caillou|||2006-01-01|1914-01-01||||actor,writer|
4378||Shamil Nadzhaf-zade||||||||production_designer|
4379||Kate Manx|||1964-01-01|1930-01-01||||actress|
4380||Jack Haddock|||1987-01-01|1919-01-01||||actor|
4381|The Night the Doorbell Rang||11|8||||1960-01-01|Drama||30
4382||Herbert Ross|||2001-01-01|1927-01-01||||director,miscellaneous,producer|
4383|Death Rides a Pale Horse||15|1||||1963-01-01|Drama,Sport,Western||
4384|Showdown at Cremation Creek: Part 1||12|2||||2006-01-01|Action,Adventure,Animation||22
4385||Mimi Gibson||||1948-01-01||||actress|
4386|The Accidental Text on Purpose||6|9||||2017-01-01|Comedy||38
4387|The Grenade||14|7||||1960-01-01|Drama||30
4388||Aaron Alon||||||||music_department,sound_department,director|
4389||Pilar Seurat|||2001-01-01|1938-01-01||||actress|
4390||Richard Levinson|||1987-01-01|1934-01-01||||writer,producer,miscellaneous|
4391||Gabrielle Upton||||1922-01-01||||writer,actress|
4392||Patricia Cutts|||1974-01-01|1926-01-01||||actress|
4393|King of the City||33|1||||2016-01-01|Animation,Comedy,Family||
4394||Norman Foster|||1976-01-01|1903-01-01||||director,actor,writer|
4395|The Day of the Whale||22|1||||1962-01-01|Adventure||
4396|The Raft||8|1||||1959-01-01|Adventure||49
4397||Giancarlo Esposito||||1958-01-01||||music_department,actor,producer|
4398||Anthony Numkena||||1942-01-01||||actor|
4399||Howard Clair|||||||||
4400||Per Andersson||||1976-01-01||||actor,writer,editor|
4401||Nancy Millard||||1929-01-01||||actress|
4402||Larry Charles||||1956-01-01||||producer,writer,miscellaneous|
4403||Scott Forbes|||1997-01-01|1920-01-01||||actor,writer|
4404||Mary Sullivan||||||||actress|
4405||Nathaniel Moreau||||1978-01-01||||actor|
4406||Andrea Dahmen||||1939-01-01||||actress|
4407||Joseph Hardy||||1929-01-01||||producer,director,writer|
4408||Myra Marsh|||1964-01-01|1894-01-01||||actress|
4409||Vladimir Zuev||||||||writer|
4410||Maria K?rber|||2018-01-01|1930-01-01||||actress,soundtrack,miscellaneous|
4411||Miriam Geiger||||||||miscellaneous,writer|
4412||Eva Kohlschein||||||||editor,editorial_department|
4413||Fr?d?rique Camaret||||||||actress|
4414|A Strange Adventure||28|5||||1958-01-01|Drama||30
4415|Who Goes There||4|1||||2014-01-01|Crime,Drama,Mystery||56
4416||Michael Hogan||||||||actor|
4417||Bill Hart|||2015-01-01|1934-01-01||||actor,stunts|
4418||Grady Cooper||||||||editor,producer,writer|
4419||Bob Combs|||||||||
4420|One Little Pearl||8|2||||1960-01-01|Adventure||60
4421||Roy Sharman||||||||editor,editorial_department,sound_department|
4422||John Erman||||1935-01-01||||director,producer,miscellaneous|
4423||Achinette Villamor||||||||producer,writer,miscellaneous|
4424||Rafail Perelshteyn|||1978-01-01|1909-01-01||||assistant_director,director,producer|
4425|The Weeping Woman||5|2||||1994-01-01|Animation,Comedy,Fantasy||21
4426||Bronislav Poloczek|||2012-01-01|1939-01-01||||actor|
4427||Charles Drake|||1994-01-01|1917-01-01||||actor|
4428|Curb Your Enthusiasm|||||||2000-01-01|Comedy||28
4429||Frances Mercer|||2000-01-01|1915-01-01||||actress,soundtrack|
4430||Susan Murdoch||||||||producer,production_manager,miscellaneous|
4431||John Hubbard|||1988-01-01|1914-01-01||||actor,soundtrack,miscellaneous|
4432|The Girl Scout Story||9|2||||1954-01-01|Drama||30
4433||Romy Schneider|||1982-01-01|1938-01-01||||actress,soundtrack|
4434||Dileesh Pothan||||||||actor,assistant_director,director|
4435||Rupert Everett||||1959-01-01||||actor,soundtrack,producer|
4436||Lee Goldberg||||||||producer,writer,miscellaneous|
4437||James Eastwood||||||||writer|
4438||Stephen McNally|||1994-01-01|1911-01-01||||actor|
4439|Rongorongo Man||21|1||||1962-01-01|Adventure||
4440||Tommy Cook||||1930-01-01||||actor,writer,producer|
4441||Jeffrey Stone|||2012-01-01|1926-01-01||||actor,writer,director|
4442||Billy Goldenberg|||2020-01-01|1936-01-01||||music_department,composer,soundtrack|
4443||Gary Nelson||||1934-01-01||||director,assistant_director,producer|
4444||Amy Danles||||||||actress,writer,executive|
4445||Alberto Alessi||||||||composer|
4446||Edong Canlas||||||||producer|
4447||Valentina Kulagina||||||||editor|
4448||Wendy Barrie|||1978-01-01|1912-01-01||||actress,soundtrack|
4449||Charles Evans|||1974-01-01|1885-01-01||||actor|
4450||Richard Epcar||||1955-01-01||||actor,miscellaneous,writer|
4451|Song of Rome||21|3||||1956-01-01|Drama||30
4452||Eddie Albert|||2005-01-01|1906-01-01||||actor,soundtrack,producer|
4453||Rohan Brooker||||||||actor|
4454||Talbot Jennings|||1985-01-01|1894-01-01||||writer|
4455||Randy Rothermel Jr.|||||||||
4456||Walter Tevis|||1984-01-01|1928-01-01||||writer|
4457||Seaton McLean||||1955-01-01||||producer,editor,writer|
4458||Marcel Sacotte||||||||writer|
4459||Anthony Hopkins||||1937-01-01||||actor,soundtrack,composer|
4460||Murray Parker|||1965-01-01|1896-01-01||||actor|
4461||Silvia Alonso||||1992-01-01||||actress|
4462||Clement Brace|||1996-01-01|1916-01-01||||actor|
4463|The Lakes||||||1999-01-01|1997-01-01|Drama||374
4464|Mr. Flotsam||15|2||||1961-01-01|Adventure||60
4465||Linda Howell||||||||actress|
4466||Chas. Floyd Johnson||||1941-01-01||||producer,actor,writer|
4467||Josef Fr?hlich||||1933-01-01||||actor|
4468||David Kasday||||1942-01-01||||actor,soundtrack|
4469|Sharon Sharalike||1|3||||1999-01-01|Animation,Comedy,Fantasy||21
4470|The Robber||21|1||||1958-01-01|Adventure||30
4471||Shane Withington||||1958-01-01||||actor|
4472||Don DeFore|||1993-01-01|1913-01-01||||actor,soundtrack|
4473||Theodore Lehmann|||2018-01-01|1922-01-01||||actor,miscellaneous|
4474||Hardee T. Lineham||||||||actor|
4475||Lory Patrick||||1938-01-01||||actress,soundtrack,miscellaneous|
4476||Mario Siletti|||1964-01-01|1903-01-01||||actor,soundtrack|
4477||Josep Maria Pou||||1944-01-01||||actor|
4478||Neil Stuke||||1967-01-01||||actor|
4479||Holly Wortell||||||||writer,actress,miscellaneous|
4480||Tommy Kirk||||1941-01-01||||actor,soundtrack|
4481||William Ching|||1989-01-01|1913-01-01||||actor|
4482||Richard E. Grant||||1957-01-01||||actor,soundtrack,director|
4483||John Alderson|||2006-01-01|1916-01-01||||actor,soundtrack|
4484||Willie Reale||||||||producer,writer,music_department|
4485||Frank Jenks|||1962-01-01|1902-01-01||||actor,soundtrack|
4486||Nathan Darrow||||1976-01-01||||actor|
4487|The Final Country||7|3||||2019-01-01|Crime,Drama,Mystery||58
4488||Erich Ferstl||||1934-01-01||||composer,music_department,soundtrack|
4489||Henry Hunter|||1985-01-01|1907-01-01||||actor|
4490||Clancy Brown||||1959-01-01||||actor,soundtrack,producer|
4491||Pierre Huyghe||||1962-01-01||||director,writer,editor|
4492||Oshri Cohen||||1984-01-01||||actor,writer|
4493|Plumber||8|2||||2006-01-01|Reality-TV||43
4494||Lydia Bosch||||1963-01-01||||actress,soundtrack|
4495|PMTA|||||||2018-01-01|Drama||40
4496||Carson T. Foster||||||||camera_department,actor,art_department|
4497||Suraj Venjaramoodu||||||||actor,music_department,soundtrack|
4498||William Bast|||2015-01-01|1931-01-01||||writer,producer,miscellaneous|
4499|Smoke Gets in Your Eyes||8|1||||1993-01-01|Crime,Drama,Mystery||
4500||Mathieu Amalric||||1965-01-01||||actor,director,writer|
4501||Rachel Simon||||1981-01-01||||producer,editorial_department,miscellaneous|
4502||Xander Mobus||||1992-01-01||||actor,miscellaneous|
4503||Dana Snyder||||1973-01-01||||actor,writer,producer|
4504||Tony Armatrading||||1961-01-01||||actor,miscellaneous|
4505||Akira Kamiya||||1946-01-01||||actor|
4506||Sandy Descher||||1945-01-01||||actress,soundtrack|
4507||Hannah Galway||||||||actress,writer,producer|
4508|So Bright a Light||27|4||||1957-01-01|Drama||30
4509||Peter Forster|||1982-01-01|1920-01-01||||actor|
4510||Steven Hill|||2016-01-01|1922-01-01||||actor|
4511||Max Boyd|||||||||
4512||Penny Santon|||1999-01-01|1916-01-01||||actress,soundtrack|
4513|Narcissus||20|5||||1997-01-01|Crime,Drama,Mystery||
4514||Leonard J. Horn|||1975-01-01|1926-01-01||||director,producer,actor|
4515|Strangers in Town||24|1||||1958-01-01|Adventure||30
4516||Patrice Ledoux||||||||producer,actor,stunts|
4517||Joan Banks|||1998-01-01|1918-01-01||||actress|
4518||Jock Mahoney|||1989-01-01|1919-01-01||||actor,stunts,soundtrack|
4519||Marshall Lancaster||||1974-01-01||||actor|
4520||Chris Demarais||||||||actor,writer,director|
4521||James Thomton||||||||writer|
4522||Gary Waynesmith||||1934-01-01||||actor|
4523||Yoshihito Mikamo||||||||director,assistant_director|
4524|My Favorite Monster||19|4||||1957-01-01|Drama||30
4525||Wayne Ewing||||||||cinematographer,director,editor|
4526||Watson Downs|||1969-01-01|1879-01-01||||actor|
4527||Wayne Yarusi|||||||||
4528||Malene Maria B?ggild||||||||actress|
4529||David Manson||||||||producer,writer,director|
4530|Micro-Algae Man||12|1||||2005-01-01|Reality-TV||44
4531||Eduard Franz|||1983-01-01|1902-01-01||||actor,soundtrack|
4532||Boyd Gaines||||1953-01-01||||actor,soundtrack|
4533||Ryan Haywood||||1980-01-01||||actor,visual_effects,animation_department|
4534||Oleg Strizhenov||||1929-01-01||||actor|
4535|Turn of the Card||5|1||||1953-01-01|Drama||30
4536||Norma Mansfield||||||||writer|
4537||Elaine Stritch|||2014-01-01|1925-01-01||||actress,music_department,soundtrack|
4538||Art Fleming|||1995-01-01|1924-01-01||||actor|
4539|Self Defense||18|7||||1999-01-01|Crime,Drama,Mystery||
4540||Wolfgang Schwarz||||1925-01-01||||actor|
4541||Kwok-Hung Lam||||1958-01-01||||actor|
4542||Barbara Merlin||||||||writer|
4543||Hugh Reilly|||1998-01-01|1915-01-01||||actor|
4544||Morris Waldo||||||||writer|
4545|The cricket||||||1979-01-01|1978-01-01|Animation,Family||5
4546||Rod Steiger|||2002-01-01|1925-01-01||||actor,soundtrack|
4547|Episode #1.1||1|1||||1997-01-01|Drama||94
4548|Linda||4|8||||1960-01-01|Drama||30
4549|The Test||19|2||||1962-01-01|Adventure,Drama,Family||30
4550||Gardner McKay|||2001-01-01|1932-01-01||||actor,writer,soundtrack|
4551|Chapter 66||1|6||||2018-01-01|Drama||53
4552||Vladimir Korotkevich||||||||writer|
4553||Phyllis Murphy||||||||miscellaneous,writer,producer|
4554||Christopher Hinton||||1952-01-01||||animation_department,director,miscellaneous|
4555||Jimmy McGovern||||1949-01-01||||writer,producer,miscellaneous|
4556||Marjorie Lord|||2015-01-01|1918-01-01||||actress,soundtrack|
4557||Grant Piro||||||||actor,miscellaneous|
4558||Eloy Azor?n||||1977-01-01||||actor|
4559||Todor Stoyanov|||1999-01-01|1930-01-01||||director,cinematographer,camera_department|
4560|Beautiful People||||||2009-01-01|2008-01-01|Comedy||
4561||Richard K. Brockway||||1922-01-01||||editorial_department,editor,production_manager|
4562||Tom Simcox||||1937-01-01||||actor|
4563|Dragons: Gift of the Night Fury|||||||2011-01-01|Adventure,Animation,Comedy||22
4564||Carme Elias||||1951-01-01||||actress,miscellaneous|
4565|Lies and Other Truths||14|6||||1998-01-01|Crime,Drama,Mystery||
4566||Nelson Algren|||1981-01-01|1909-01-01||||writer,actor|
4567||Murray Alper|||1984-01-01|1904-01-01||||actor,soundtrack,miscellaneous|
4568||Chung Chow||||1932-01-01||||actor,miscellaneous,production_manager|
4569||Tiffany Bolling||||1947-01-01||||actress,miscellaneous,soundtrack|
4570||Ron Randell|||2005-01-01|1918-01-01||||actor|
4571||Michelle Ruff||||1967-01-01||||actress,miscellaneous,sound_department|
4572|The Fall||4|2||||1961-01-01|Adventure,Drama,Family||30
4573||Luciana Paluzzi||||1937-01-01||||actress,producer|
4574||Gayle Kellogg|||1997-01-01|1921-01-01||||actor|
4575||Alexander Grasshoff|||2008-01-01|1928-01-01||||director,producer,writer|
4576||Kenichi Suzumura||||1974-01-01||||actor,soundtrack,music_department|
4577||Ed Bianchi||||1942-01-01||||director,producer,miscellaneous|
4578||Nicolas Economou|||1993-01-01|1953-01-01||||composer|
4579||Tomas Kaminsky||||||||producer,writer|
4580|Moment of Decision||6|3||||1955-01-01|Drama||30
4581||Robert Thomsen||||||||writer,producer|
4582||Eva Voskov?||||1950-01-01||||actress|
4583||Peter Damon||||||||actor|
4584||Pere Arquillu?||||1967-01-01||||actor,soundtrack|
4585||Arlene Kieta|||2016-01-01|1933-01-01||||actress|
4586||Robert Fortier|||2005-01-01|1926-01-01||||actor,soundtrack|
4587|Time of Decision||21|5||||1958-01-01|Drama||30
4588|Dead End||13|3||||1995-01-01|Crime,Drama,Mystery||
4589||Hugh Beaumont|||1982-01-01|1909-01-01||||actor,director,writer|
4590|Sex||7|1||||2005-01-01|Comedy||
4591||Ted Post|||2013-01-01|1918-01-01||||director,writer,actor|
4592||Karen Burthwright||||||||actress|
4593||Lillian Adams|||2011-01-01|1922-01-01||||actress|
4594||Don Roy King||||1947-01-01||||director,actor,producer|
4595||P.K. Palmer||||||||writer,producer,director|
4596||Luke Ward-Wilkinson||||1992-01-01||||actor,soundtrack|
4597|Lady Killer||17|1||||1954-01-01|Drama||30
4598|Bombora: The Story of Australian Surfing|||||||2009-01-01|Documentary,Sport||110
4599|The Rumor||24|2||||1962-01-01|Adventure,Drama,Family||30
4600||David Opatoshu|||1996-01-01|1918-01-01||||actor,writer|
4601||Frances Callier||||1969-01-01||||actress,producer,writer|
4602||Henry Brandon|||1990-01-01|1912-01-01||||actor,soundtrack,miscellaneous|
4603||Fred R. Feitshans Jr.|||1987-01-01|1909-01-01||||editor,editorial_department,director|
4604||Nancy Kulp|||1991-01-01|1921-01-01||||actress,soundtrack|
4605||Shelley Fabares||||1944-01-01||||actress,producer,soundtrack|
4606||Suzanne Alexander|||1975-01-01|1931-01-01||||actress|
4607||Mary Jane Waldo||||||||writer|
4608|Chapter 63||11|5||||2017-01-01|Drama||51
4609|Nadeko suneiku sono ni||10|1||||2009-01-01|Action,Animation,Comedy||24
4610|Null Uhr Hauptbahnhof||3|1||||1963-01-01|Drama||53
4611||David Starkey||||1945-01-01||||writer,director,miscellaneous|
4612|Episode #4.1||1|4||||2014-01-01|Crime,Drama,Mystery||44
4613||John Mankiewicz||||1954-01-01||||producer,writer,actor|
4614|Who Is Sylvia?||22|2||||1961-01-01|Adventure||60
4615|The Misfit||30|7||||1960-01-01|Drama||30
4616|The Colt||19|1||||1961-01-01|Adventure,Drama,Family||30
4617|Cat's Eyes||19|1||||1963-01-01|Drama,Sport,Western||
